COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
501,20240101,P,2495,2772,2104,1391,846,948,1467,1740,2105,3219,4066,5059,5393,5714,5860,5613,5279,5232,4889,3495,2705,2228,1537,1021,1/1/2024
501,20240101,S,4473,4189,3416,1858,1049,961,1157,1473,2114,3184,4833,6310,6429,6502,6584,6286,5903,5511,4767,3928,3207,4416,1966,1209,1/1/2024
501,20240102,P,580,430,348,557,1120,3517,6699,7530,7279,6642,6554,6971,6825,7127,7351,6140,6007,6444,6747,4336,3405,2598,1827,1041,1/2/2024
501,20240102,S,716,533,435,514,1220,3551,7041,7727,7702,7038,7115,7304,7678,7639,8220,8632,8429,8165,6480,4771,3769,3925,3566,1294,1/2/2024
501,20240103,P,645,491,415,599,1256,3713,7049,7635,7563,6970,6551,7034,6916,6850,7249,5856,4673,4980,5535,4824,3816,2961,1921,1206,1/3/2024
501,20240103,S,838,544,465,529,1268,3845,7355,8082,7880,7598,7423,7490,7672,7907,8543,8865,8447,7915,7087,5100,4097,3361,2226,1394,1/3/2024
501,20240104,P,754,499,429,570,1177,3633,6988,7380,7473,7344,7231,7616,7203,6383,5316,5905,5325,4545,5830,4713,3676,3076,2118,1283,1/4/2024
501,20240104,S,905,609,497,543,1268,3852,7337,6818,8414,7564,7441,7483,7910,8157,8594,8883,8830,8023,6934,5093,4126,3370,2274,1524,1/4/2024
501,20240105,P,743,550,397,573,1130,3245,6252,6864,7158,7197,7092,7338,7458,7281,6841,5643,5403,6166,7234,5397,4330,3894,3227,2078,1/5/2024
501,20240105,S,1031,665,566,569,1202,3431,6677,7639,7741,7290,7558,7923,7907,8538,8689,8953,8532,6669,2637,4964,4526,5517,4318,2620,1/5/2024
501,20240106,P,1279,863,684,600,754,1817,2889,3538,4534,6084,7122,7348,7667,7851,7358,7168,6793,5821,4631,4978,4712,4189,3203,2378,1/6/2024
501,20240106,S,1961,1266,1001,618,737,1309,2320,3542,4771,6005,7097,7816,8285,8260,8305,8453,8489,8335,4265,5390,5063,4637,4641,2812,1/6/2024
501,20240107,P,1465,958,875,573,569,1267,2339,2585,3176,4675,5890,6478,7349,7017,7005,6802,6416,7257,5330,4083,3476,2759,1767,1076,1/7/2024
501,20240107,S,1909,1464,1101,641,574,890,1562,2147,3085,4812,6207,7019,7569,7678,7699,7635,7784,7063,6004,4799,5690,3693,2286,1404,1/7/2024
501,20240108,P,616,437,453,562,1083,2725,4824,5275,5985,5295,5443,5691,5958,6078,6644,6551,5940,6609,6162,3934,3127,2616,1665,950,1/8/2024
501,20240108,S,838,625,499,630,1122,2886,5183,6509,6696,6391,5844,6203,6318,6482,7414,7979,8168,7734,5578,3965,3233,3563,3962,1309,1/8/2024
501,20240109,P,612,426,392,587,1209,3676,7320,7805,7877,7450,6953,7145,7127,6139,6410,5317,5069,4695,6107,4835,3776,3004,1938,1081,1/9/2024
501,20240109,S,737,525,453,538,1225,3802,6717,7417,7672,7381,7729,7483,7656,7884,8722,8762,7610,7601,6396,4964,4578,4271,2324,1320,1/9/2024
501,20240110,P,619,450,393,599,1207,3840,7110,7940,7793,7547,6950,6438,6616,7215,6952,5695,4994,5222,4999,5730,4111,3382,2067,1244,1/10/2024
501,20240110,S,786,506,476,574,1282,3994,7734,7977,7557,7288,7313,7481,7731,8063,8691,8802,8443,7712,6674,5183,4536,3951,3694,3118,1/10/2024
501,20240111,P,723,489,394,594,1178,3627,6243,6577,8319,7587,7086,7236,7024,7324,7161,5976,5028,5242,6552,5204,4071,3509,2159,1258,1/11/2024
501,20240111,S,987,598,529,555,1279,3833,7444,8573,8270,7655,7562,7665,7920,8082,8897,9132,8465,8050,7238,5359,4570,4100,2686,1931,1/11/2024
501,20240112,P,691,542,466,593,1120,3222,6182,4928,4173,5953,7251,7796,5855,6033,6456,5433,4998,5439,6957,6419,4594,4358,3232,2177,1/12/2024
501,20240112,S,1126,689,638,555,1137,3346,6670,7821,7744,7406,7589,7941,7857,8261,8532,8779,8265,7830,7366,5957,4932,5029,5959,3442,1/12/2024
501,20240113,P,1361,888,653,576,678,1347,2201,2391,3210,4912,5709,5993,6294,6681,6860,6811,6494,3740,4670,4157,3743,3585,2707,1801,1/13/2024
501,20240113,S,1718,1306,1145,739,720,1107,1621,2563,3171,4386,5186,5589,6135,6879,7021,6817,7140,6416,5790,4743,4089,4687,3893,2675,1/13/2024
501,20240114,P,1234,818,583,455,528,1152,1799,2042,2689,3858,5235,6069,7465,6595,6076,5839,5962,5241,4729,3781,3020,2603,1848,1167,1/14/2024
501,20240114,S,1658,1199,844,533,530,720,1195,1698,2580,3735,4818,5492,6139,6574,6530,6581,7988,6066,5434,4375,3575,3511,2278,1543,1/14/2024
501,20240115,P,669,547,428,523,912,2420,3955,4366,4232,3634,4480,4243,4069,4456,4771,4455,4387,4361,3354,2498,2041,1585,1279,823,1/15/2024
501,20240115,S,1041,733,519,465,871,2243,3959,4567,4602,3943,4165,4356,4339,4532,5016,4955,4799,4663,3950,2953,2575,2300,1577,1078,1/15/2024
501,20240116,P,479,374,310,537,1087,2913,5460,6695,6515,6423,6799,6073,6696,6945,6450,6319,4638,5036,5675,4511,3504,2782,1797,999,1/16/2024
501,20240116,S,710,446,424,510,985,2531,5072,6401,6543,6600,6416,6781,7091,7408,7541,8172,7946,7547,6623,4997,4543,4155,2256,1297,1/16/2024
501,20240117,P,617,475,390,628,1250,3735,7177,8123,7808,7262,7134,6815,7079,7235,6504,5192,4712,4306,5726,5000,4223,3319,2117,1173,1/17/2024
501,20240117,S,833,517,443,552,1200,3840,7391,8320,7713,7463,7203,7654,7741,8061,8452,8239,7977,6795,7188,5481,4464,4030,2482,1463,1/17/2024
501,20240118,P,696,482,448,581,1250,3824,7459,8002,7612,7422,7539,5571,6151,7237,6204,5176,4610,4237,5515,5338,4241,3547,2194,1270,1/18/2024
501,20240118,S,864,603,495,584,1165,3996,7609,7764,7715,7379,7312,7778,8189,7982,8512,8510,7693,7131,7290,5491,4687,4437,2765,1953,1/18/2024
501,20240119,P,780,554,459,601,1161,3467,6642,7019,7140,7178,7092,7120,7362,6881,6495,5497,4895,4891,5903,5855,4774,4311,3266,2334,1/19/2024
501,20240119,S,1043,768,597,587,1158,3485,7064,7896,7865,7350,7463,7998,8220,8278,8668,8616,8341,7648,7432,6222,5207,5206,4112,3123,1/19/2024
501,20240120,P,1354,957,732,640,756,2417,3426,3894,5109,6764,7536,7183,7279,7387,6656,7207,6972,7296,7166,5600,4752,4520,3618,2497,1/20/2024
501,20240120,S,1975,1560,1210,674,738,1405,2738,4088,5180,6540,7713,8247,8544,8582,8615,8580,8313,7667,7402,6376,5496,6084,4866,3642,1/20/2024
501,20240121,P,1804,1390,944,654,668,1483,2431,2555,3688,5433,6511,7353,7599,7262,6755,6834,7355,6180,5400,4272,4056,2760,1646,1046,1/21/2024
501,20240121,S,2246,1908,1439,785,686,848,1620,2372,3486,5049,6575,7485,8461,7900,6872,8415,8648,7358,6209,5137,4769,3336,2164,1344,1/21/2024
501,20240122,P,610,473,436,589,1263,3760,7157,7988,7954,7356,7174,6880,7180,7146,6176,5405,4805,4924,6108,4510,3573,2696,1687,943,1/22/2024
501,20240122,S,887,568,473,562,1255,3988,7421,8373,7727,7325,7207,7320,7261,7784,8622,8739,8406,7748,6975,5064,3856,2961,1972,1230,1/22/2024
501,20240123,P,583,456,391,574,1242,3797,7429,8139,7695,6369,7706,6942,7178,7390,6293,5580,5013,4735,5998,5076,4064,3384,2088,1108,1/23/2024
501,20240123,S,703,479,451,547,1325,4012,7776,7988,7568,7663,7250,7818,7926,7981,7693,8543,7707,7355,6935,5336,4426,3881,2196,1356,1/23/2024
501,20240124,P,634,497,421,588,1259,3846,7707,8442,7887,7473,7103,7201,7418,7488,6062,5393,4777,5267,6933,5647,4072,3419,2362,1241,1/24/2024
501,20240124,S,784,510,479,559,1221,3712,7658,8208,7507,7060,7576,7603,8060,8378,8645,8665,8381,7732,7633,5844,4680,4065,4735,1744,1/24/2024
501,20240125,P,699,483,393,625,1242,3843,7423,7989,7950,7549,7632,7674,7431,7737,6104,5460,4353,4447,4687,5337,4508,3652,2265,1296,1/25/2024
501,20240125,S,904,600,510,556,1226,4078,7731,7812,7481,7275,7748,7947,8074,8302,8770,8986,8563,7915,7755,5802,4939,4360,2763,1629,1/25/2024
501,20240126,P,731,529,444,624,1155,3138,6288,6295,6672,6628,6841,7332,7237,7423,6680,6170,5989,6615,6890,5739,4755,4165,3474,2252,1/26/2024
501,20240126,S,1065,817,631,631,1224,3470,6439,7725,7511,7307,7060,7872,7908,8077,8562,8752,8643,8073,5766,5958,4835,6344,5221,2818,1/26/2024
501,20240127,P,1426,955,766,605,757,2342,2877,3765,5098,6619,6816,6056,7578,7915,7704,7363,6727,7414,6130,5415,5050,4717,3560,2547,1/27/2024
501,20240127,S,1859,1491,1175,653,790,1196,2432,3924,5385,6795,7974,8172,8098,8494,8543,8396,8340,7890,8022,6991,5786,5271,4377,3155,1/27/2024
501,20240128,P,1646,1226,882,714,660,1484,2247,2603,3671,5280,6298,5507,6970,7089,6828,6742,6567,6159,5524,4302,4529,2946,1877,1065,1/28/2024
501,20240128,S,2322,1900,1354,749,652,989,1632,2553,3655,5297,6963,7742,8216,7802,7739,7812,7919,7292,6180,5043,5006,3189,1920,1165,1/28/2024
501,20240129,P,672,482,434,588,1245,3773,7238,8063,7841,7055,7061,6993,7274,7128,6909,5589,4950,5884,6619,4705,3523,2835,1808,977,1/29/2024
501,20240129,S,771,554,453,568,1244,4005,6758,8569,7752,7617,7346,7553,7876,7852,8501,8890,8324,7648,6087,5241,4028,4954,2853,1303,1/29/2024
501,20240130,P,676,445,390,591,1234,3910,7703,8614,7871,7296,7856,7316,7386,7400,6315,5137,3531,2803,5579,5267,4091,3250,1920,1070,1/30/2024
501,20240130,S,769,493,479,561,1325,4177,7956,7653,7656,7534,7509,7574,7967,8148,8666,8696,7765,7433,7545,5572,4508,3620,2676,1318,1/30/2024
501,20240131,P,611,448,388,598,1304,3988,7547,8152,8011,7521,7425,7477,7520,7603,6566,5519,4575,4915,5938,5382,4302,3455,2198,1186,1/31/2024
501,20240131,S,770,516,503,601,1258,4080,7941,8160,7749,7695,7857,7645,8109,8307,8589,8773,8414,8005,7681,5901,4861,3855,2707,1478,1/31/2024
501,20240201,P,685,517,432,640,1263,3919,6356,6354,7962,7432,7570,7394,7342,7218,6457,5279,3130,4183,5943,5368,4539,3659,2215,1326,2/1/2024
501,20240201,S,931,576,535,608,1281,4226,7832,7571,7721,7785,7380,7964,8186,8257,8707,8636,8174,7926,7875,5996,4880,4052,3418,1697,2/1/2024
501,20240202,P,823,600,491,671,1287,3643,6871,7434,7474,7026,6963,7589,6930,6192,6454,5889,5643,6417,6655,6019,4820,4591,3306,2284,2/2/2024
501,20240202,S,1074,825,639,619,1276,3757,7260,8527,8120,6999,7784,8049,8215,8261,8627,8605,8575,7775,7189,6204,4870,6299,4783,2905,2/2/2024
