DateObserved,ParameterName,AQI,CategoryName
1/20/2024,OZONE,36,Good
1/20/2024,PM2.5,77,Moderate
1/20/2024,PM10,40,Good
1/21/2024,OZONE,39,Good
1/21/2024,PM2.5,82,Moderate
1/21/2024,PM10,37,Good
1/22/2024,OZONE,37,Good
1/22/2024,PM2.5,68,Moderate
1/22/2024,PM10,28,Good
1/23/2024,OZONE,39,Good
1/23/2024,PM2.5,64,Moderate
1/23/2024,PM10,27,Good
1/24/2024,OZONE,42,Good
1/24/2024,PM2.5,65,Moderate
1/24/2024,PM10,28,Good
1/25/2024,OZONE,42,Good
1/25/2024,PM2.5,59,Moderate
1/25/2024,PM10,23,Good
1/26/2024,OZONE,43,Good
1/26/2024,PM2.5,65,Moderate
1/26/2024,PM10,18,Good
1/27/2024,OZONE,46,Good
1/27/2024,PM2.5,51,Moderate
1/27/2024,PM10,16,Good
1/28/2024,OZONE,42,Good
1/28/2024,PM2.5,41,Good
1/28/2024,PM10,11,Good
1/29/2024,OZONE,36,Good
1/29/2024,PM2.5,49,Good
1/29/2024,PM10,23,Good
1/30/2024,OZONE,46,Good
1/30/2024,PM2.5,54,Moderate
1/30/2024,PM10,31,Good
1/31/2024,OZONE,42,Good
1/31/2024,PM2.5,57,Moderate
1/31/2024,PM10,44,Good
2/1/2024,OZONE,45,Good
2/1/2024,PM2.5,41,Good
2/1/2024,PM10,24,Good
2/2/2024,OZONE,36,Good
2/2/2024,PM2.5,63,Moderate
2/2/2024,PM10,30,Good
2/3/2024,OZONE,38,Good
2/3/2024,PM2.5,53,Moderate
2/3/2024,PM10,10,Good
2/4/2024,OZONE,46,Good
2/4/2024,PM2.5,57,Moderate
2/4/2024,PM10,12,Good
2/5/2024,OZONE,45,Good
2/5/2024,PM2.5,67,Moderate
2/5/2024,PM10,28,Good
2/6/2024,OZONE,50,Good
2/6/2024,PM2.5,76,Moderate
2/6/2024,PM10,41,Good
2/7/2024,OZONE,49,Good
2/7/2024,PM2.5,49,Good
2/7/2024,PM10,20,Good
2/8/2024,OZONE,44,Good
2/8/2024,PM2.5,28,Good
2/8/2024,PM10,15,Good
2/9/2024,OZONE,41,Good
2/9/2024,PM2.5,35,Good
2/9/2024,PM10,19,Good
2/10/2024,OZONE,40,Good
2/10/2024,PM2.5,44,Good
2/10/2024,PM10,6,Good
2/11/2024,OZONE,46,Good
2/11/2024,PM2.5,54,Moderate
2/11/2024,PM10,12,Good
2/12/2024,OZONE,46,Good
2/12/2024,PM2.5,43,Good
2/12/2024,PM10,22,Good
2/13/2024,OZONE,46,Good
2/13/2024,PM2.5,31,Good
2/13/2024,PM10,27,Good
2/14/2024,OZONE,46,Good
2/14/2024,PM2.5,44,Good
2/14/2024,PM10,20,Good
2/15/2024,OZONE,48,Good
2/15/2024,PM2.5,71,Moderate
2/15/2024,PM10,28,Good
2/16/2024,OZONE,47,Good
2/16/2024,PM2.5,46,Good
2/16/2024,PM10,7,Good
2/17/2024,OZONE,47,Good
2/17/2024,PM2.5,55,Moderate
2/17/2024,PM10,15,Good
2/18/2024,OZONE,51,Moderate
2/18/2024,PM2.5,50,Good
2/18/2024,PM10,16,Good
2/19/2024,OZONE,51,Moderate
2/19/2024,PM2.5,31,Good
2/19/2024,PM10,30,Good
2/20/2024,OZONE,45,Good
2/20/2024,PM2.5,44,Good
2/20/2024,PM10,37,Good
