Adams birch Street,PM10,PM2.5,,,,,,,,,,,
Alamosa,PM10,PM2.5,,,,,,,,,,,
Arapahoe Community College,PM10,PM2.5,,,,,,,,,,,
Aspen,O3,,,,,,,,,,,,
Aspen Park,PM10,PM2.5,,,,,,,,,,,
Aspen PM,PM10,PM2.5,,,,,,,,,,,
Aurora East,O3,RD,RS,TEMP,WD,WS,,,,,,,
Black Hawk,O3,,,,,,,,,,,,
Boulder Resevoir,O3,RD,RS,TEMP,WD,WS,RH,,,,,,
Boulder - CU/Athens,PM10,PM2.5,,,,,,,,,,,
CAMP,PM10,PM2.5,NO2,O3,SO2,NO,,,,,,,
Canon City,PM10,PM2.5,,,,,,,,,,,
Chatfield Park,PM10,PM2.5,O3,RD,RS,TEMP,WD,WS,,,,,
Colorado College,PM10,PM2.5,CO,,,,,,,,,,
Cortez Ozone,O3,,,,,,,,,,,,
DESCI,RH,VISI,,,,,,,,,,,
Evergreen,O3,RD,RS,TEMP,WD,WS,RH,,,,,,
Fort Collins - CSU,CO,O3,RD,RS,TEMP,WD,WS,,,,,,
Fort Collins - CSU Facilities,PM10,PM2.5,,,,,,,,,,,
Fort Collins - West,O3,RD,RS,TEMP,WD,WS,RH,,,,,,
Fossil Creek,NO2,O3,NO,RD,RS,TEMP,WD,WS,RH,,,,
Grand Jct. Powell,PM10,PM2.5,,,,,,,,,,,
Grand Junction Shelter,RD,RS,TEMP,WD,WS,RH,,,,,,,
Greeley - Hospital,PM10,PM2.5,,,,,,,,,,,
Greeley - Weld Co. Tower,CO,O3,RD,RS,TEMP,WD,WS,,,,,,
Highland ,O3,RD,RS,TEMP,WD,WS,,,,,,,
I-25 Denver,CO,PM10,PM2.5,NO2,NO,TEMP,WD,WS,,,,,
I-25 Globeville,PM10,PM2.5,NO2,NO2,RD,RS,TEMP,WD,WS,RH,,,
La Casa,CO,PM10,PM2.5,NO2,O3,SO2,NO,RD,RS,TEMP,WD,WS,RH
La Salle Tower,NO2,O3,NO,,,,,,,,,,
Lamar Municipal Building,PM10,PM2.5,,,,,,,,,,,
Longmont - Municipal,PM10,PM2.5,,,,,,,,,,,
Manitou,O3,,,,,,,,,,,,
National Jewish Hospital,PM10,PM2.5,,,,,,,,,,,
NREL - South Table Mtn.,O3,,,,,,,,,,,,
Pagosa Springs Middle School,PM10,PM2.5,,,,,,,,,,,
Palisade Ozone and Met,O3,TEMP,WD,WS,,,,,,,,,
Platteville Middle School,PM2.5,,,,,,,,,,,,
Pueblo Fountain School,PM10,PM2.5,,,,,,,,,,,
Pueblo West,O3,RD,RS,TEMP,WD,WS,,,,,,,
Rifle Ozone,O3,,,,,,,,,,,,
Rifle PM,PM2.5,,,,,,,,,,,,
Rocky Flats - North,NO2,O3,NO,RD,RS,TEMP,WD,WS,RH,,,,
Steamboat Springs Municipal Building,PM10,PM2.5,,,,,,,,,,,
Telluride,PM10,PM2.5,,,,,,,,,,,
Timnath - Bethke Elementary ,PM10,PM2.5,NO2,O3,NO,,,,,,,,
U.S. AF Academy,O3,,,,,,,,,,,,
Welby,PM10,PM2.5,NO2,O3,SO2,NO,RD,RS,TEMP,WD,WS,,
