COUNTDATE,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,DAY_OF_WEEK,WEEKEND
2024-01-01,6968,6961,5520,3249,1895,1909,2624,3213,4219,6403,8899,11369,11822,12216,12444,11899,11182,10743,9656,7423,5912,6644,3503,2230,1,0
2024-01-02,1296,963,783,1071,2340,7068,13740,15257,14981,13680,13669,14275,14503,14766,15571,14772,14436,14609,13227,9107,7174,6523,5393,2335,2,0
2024-01-03,1483,1035,880,1128,2524,7558,14404,15717,15443,14568,13974,14524,14588,14757,15792,14721,13120,12895,12622,9924,7913,6322,4147,2600,3,0
2024-01-04,1659,1108,926,1113,2445,7485,14325,14198,15887,14908,14672,15099,15113,14540,13910,14788,14155,12568,12764,9806,7802,6446,4392,2807,4,0
2024-01-05,1774,1215,963,1142,2332,6676,12929,14503,14899,14487,14650,15261,15365,15819,15530,14596,13935,12835,9871,10361,8856,9411,7545,4698,5,0
2024-01-06,3240,2129,1685,1218,1491,3126,5209,7080,9305,12089,14219,15164,15952,16111,15663,15621,15282,14156,8896,10368,9775,8826,7844,5190,6,1
2024-01-07,3374,2422,1976,1214,1143,2157,3901,4732,6261,9487,12097,13497,14918,14695,14704,14437,14200,14320,11334,8882,9166,6452,4053,2480,7,1
2024-01-08,1454,1062,952,1192,2205,5611,10007,11784,12681,11686,11287,11894,12276,12560,14058,14530,14108,14343,11740,7899,6360,6179,5627,2259,1,0
2024-01-09,1349,951,845,1125,2434,7478,14037,15222,15549,14831,14682,14628,14783,14023,15132,14079,12679,12296,12503,9799,8354,7275,4262,2401,2,0
2024-01-10,1405,956,869,1173,2489,7834,14844,15917,15350,14835,14263,13919,14347,15278,15643,14497,13437,12934,11673,10913,8647,7333,5761,4362,3,0
2024-01-11,1710,1087,923,1149,2457,7460,13687,15150,16589,15242,14648,14901,14944,15406,16058,15108,13493,13292,13790,10563,8641,7609,4845,3189,4,0
